"DATE","CUM_DEATHS_NEW_METHODOLOGY"
"2020-04-01",0
"2020-04-02",53
"2020-04-03",67
"2020-04-04",94
"2020-04-05",119
"2020-04-06",132
"2020-04-07",152
"2020-04-08",173
"2020-04-09",199
"2020-04-10",221
"2020-04-11",252
"2020-04-12",273
"2020-04-13",290
"2020-04-14",333
"2020-04-15",384
"2020-04-16",421
"2020-04-17",475
"2020-04-18",511
"2020-04-19",550
"2020-04-20",581
"2020-04-21",619
"2020-04-22",656
"2020-04-23",710
"2020-04-24",760
"2020-04-25",807
"2020-04-26",830
"2020-04-27",886
"2020-04-28",945
"2020-04-29",990
"2020-04-30",1074
"2020-05-01",1112
"2020-05-02",1166
"2020-05-03",1205
"2020-05-04",1289
"2020-05-05",1349
"2020-05-06",1417
"2020-05-07",1464
"2020-05-08",1527
"2020-05-09",1585
"2020-05-10",1620
"2020-05-11",1655
"2020-05-12",1711
"2020-05-13",1749
"2020-05-14",1782
"2020-05-15",1809
"2020-05-16",1842
"2020-05-17",1865
"2020-05-18",1888
"2020-05-19",1902
"2020-05-20",1945
"2020-05-21",1976
"2020-05-22",2003
"2020-05-23",2028
"2020-05-24",2053
"2020-05-25",2082
"2020-05-26",2103
"2020-05-27",2135
"2020-05-28",2169
"2020-05-29",2210
"2020-05-30",2227
"2020-05-31",2246
"2020-06-01",2256
"2020-06-02",2273
"2020-06-03",2292
"2020-06-04",2337
"2020-06-05",2352
"2020-06-06",2384
"2020-06-07",2402
"2020-06-08",2426
"2020-06-09",2440
"2020-06-10",2450
"2020-06-11",2461
"2020-06-12",2470
"2020-06-13",2479
"2020-06-14",2491
"2020-06-15",2499
"2020-06-16",2510
"2020-06-17",2522
"2020-06-18",2525
"2020-06-19",2536
"2020-06-20",2566
"2020-06-21",2574
"2020-06-22",2577
"2020-06-23",2587
"2020-06-24",2598
"2020-06-25",2608
"2020-06-26",2611
"2020-06-27",2618
"2020-06-28",2624
"2020-06-29",2631
"2020-06-30",2637
"2020-07-01",2640
"2020-07-02",2644
"2020-07-03",2646
"2020-07-04",2651
"2020-07-05",2653
"2020-07-06",2653
"2020-07-07",2655
"2020-07-08",2664
"2020-07-09",2667
"2020-07-10",2674
"2020-07-11",2680
"2020-07-12",2683
"2020-07-13",2685
"2020-07-14",2686
"2020-07-15",2695
"2020-07-16",2700
"2020-07-17",2709
"2020-07-18",2711
"2020-07-19",2714
"2020-07-20",2715
"2020-07-21",2716
"2020-07-22",2718
"2020-07-23",2718
"2020-07-24",2721
"2020-07-25",2722
"2020-07-26",2725
"2020-07-27",2726
"2020-07-28",2730
"2020-07-29",2731
"2020-07-30",2734
"2020-07-31",2737
"2020-08-01",2739
"2020-08-02",2740
"2020-08-03",2740
"2020-08-04",2744
"2020-08-05",2744
"2020-08-06",2745
"2020-08-07",2745
"2020-08-08",2746
"2020-08-09",2748
"2020-08-10",2748
"2020-08-11",2748
"2020-08-12",2749
"2020-08-13",2749
"2020-08-14",2750
"2020-08-15",2751
"2020-08-16",2751
"2020-08-17",2751
"2020-08-18",2755
"2020-08-19",2754
"2020-08-20",2755
"2020-08-21",2758
"2020-08-22",2759
"2020-08-23",2759
"2020-08-24",2760
"2020-08-25",2762
"2020-08-26",2764
"2020-08-27",2765
"2020-08-28",2771
"2020-08-29",2771
"2020-08-30",2772
"2020-08-31",2773
"2020-09-01",2774
"2020-09-02",2774
"2020-09-03",2774
"2020-09-04",2773
"2020-09-05",2773
"2020-09-06",2775
"2020-09-07",2775
"2020-09-08",2775
"2020-09-09",2775
"2020-09-10",2776
"2020-09-11",2775
"2020-09-12",2776
"2020-09-13",2777
"2020-09-14",2778
"2020-09-15",2782
"2020-09-16",2784
"2020-09-17",2787
"2020-09-18",2787
"2020-09-19",2788
"2020-09-20",2789
"2020-09-21",2791
"2020-09-22",2794
"2020-09-23",2797
"2020-09-24",2798
"2020-09-25",2799
"2020-09-26",2798
"2020-09-27",2800
"2020-09-28",2801
"2020-09-29",2805
"2020-09-30",2809
"2020-10-01",2812
"2020-10-02",2888
"2020-10-03",2929
"2020-10-04",2936
"2020-10-05",2941
"2020-10-06",2948
"2020-10-07",2949
"2020-10-08",2952
"2020-10-09",2957
"2020-10-10",2964
"2020-10-11",2965
"2020-10-12",2967
"2020-10-13",2976
"2020-10-14",2976
"2020-10-15",2981
"2020-10-16",2990
"2020-10-17",2999
"2020-10-18",3004
"2020-10-19",3008
"2020-10-20",3010
"2020-10-21",3019
"2020-10-22",3028
"2020-10-23",3036
"2020-10-24",3040
"2020-10-25",3046
"2020-10-26",3052
"2020-10-27",3056
"2020-10-28",3058
"2020-10-29",3068
"2020-10-30",3077
"2020-10-31",3085
"2020-11-01",3093
"2020-11-02",3097
"2020-11-03",3111
"2020-11-04",3127
"2020-11-05",3140
"2020-11-06",3153
"2020-11-07",3164
"2020-11-08",3176
"2020-11-09",3188
"2020-11-10",3203
"2020-11-11",3218
"2020-11-12",3236
"2020-11-13",3255
"2020-11-14",3274
"2020-11-15",3303
"2020-11-16",3312
"2020-11-17",3322
"2020-11-18",3352
"2020-11-19",3380
"2020-11-20",3388
"2020-11-21",3409
"2020-11-22",3421
"2020-11-23",3437
"2020-11-24",3450
"2020-11-25",3485
"2020-11-26",3504
"2020-11-27",3523
"2020-11-28",3548
"2020-11-29",3572
"2020-11-30",3579
"2020-12-01",3586
"2020-12-02",3621
"2020-12-03",3635
"2020-12-04",3659
"2020-12-05",3677
"2020-12-06",3691
"2020-12-07",3716
"2020-12-08",3725
"2020-12-09",3753
"2020-12-10",3786
"2020-12-11",3831
"2020-12-12",3847
"2020-12-13",3862
"2020-12-14",3884
"2020-12-15",3902
"2020-12-16",3944
"2020-12-17",3966
"2020-12-18",4005
"2020-12-19",4032
"2020-12-20",4055
"2020-12-21",4071
"2020-12-22",4092
"2020-12-23",4130
"2020-12-24",4178
"2020-12-25",4220
"2020-12-26",4258
"2020-12-27",4274
"2020-12-28",4310
"2020-12-29",4351
"2020-12-30",4370
"2020-12-31",4423
"2021-01-01",4472
"2021-01-02",4516
"2021-01-03",4540
"2021-01-04",4567
"2021-01-05",4615
"2021-01-06",4652
"2021-01-07",4741
"2021-01-08",4765
"2021-01-09",4804
"2021-01-10",4865
"2021-01-11",4893
"2021-01-12",4933
"2021-01-13",5005
"2021-01-14",5067
"2021-01-15",5167
"2021-01-16",5216
"2021-01-17",5284
"2021-01-18",5308
"2021-01-19",5352
"2021-01-20",5440
"2021-01-21",5483
"2021-01-22",5570
"2021-01-23",5622
"2021-01-24",5671
"2021-01-25",5714
"2021-01-26",5775
"2021-01-27",5824
"2021-01-28",5877
"2021-01-29",5933
"2021-01-30",6005
"2021-01-31",6047
"2021-02-01",6082
"2021-02-02",5731
"2021-02-03",6158
"2021-02-04",6244
"2021-02-05",6288
"2021-02-06",6331
"2021-02-07",6350
"2021-02-08",6382
"2021-02-09",6398
"2021-02-10",6437
"2021-02-11",6454
"2021-02-12",6471
"2021-02-13",6490
"2021-02-14",6531
"2021-02-15",6544
"2021-02-16",6555
"2021-02-17",6563
"2021-02-18",6605
"2021-02-19",6651
"2021-02-20",6678
"2021-02-21",6689
"2021-02-22",6700
"2021-02-23",6711
"2021-02-24",6718
"2021-02-25",6741
"2021-02-26",6767
"2021-02-27",6783
"2021-02-28",6802
"2021-03-01",6808
"2021-03-02",6818
"2021-03-03",6834
"2021-03-04",6843
"2021-03-05",6865
"2021-03-06",6870
"2021-03-07",6885
"2021-03-08",6895
"2021-03-09",6901
"2021-03-10",6915
"2021-03-11",6924
"2021-03-12",6942
"2021-03-13",6950
"2021-03-14",6965
"2021-03-15",6973
"2021-03-16",6983
"2021-03-17",6995
"2021-03-18",7009
"2021-03-19",7017
"2021-03-20",7028
"2021-03-21",7046
"2021-03-22",7049
"2021-03-23",7058
"2021-03-24",7068
"2021-03-25",7084
"2021-03-26",7095
"2021-03-27",7111
"2021-03-28",7129
"2021-03-29",7137
"2021-03-30",7151
"2021-03-31",7165
"2021-04-01",7187
"2021-04-02",7210
"2021-04-03",7224
"2021-04-04",7235
"2021-04-05",7243
"2021-04-06",7250
"2021-04-07",7265
"2021-04-08",7283
"2021-04-09",7300
"2021-04-10",7317
"2021-04-11",7336
"2021-04-12",7351
"2021-04-13",7365
"2021-04-14",7393
"2021-04-15",7420
"2021-04-16",7445
"2021-04-17",7479
"2021-04-18",7497
"2021-04-19",7516
"2021-04-20",7536
"2021-04-21",7568
"2021-04-22",7607
"2021-04-23",7639
"2021-04-24",7663
"2021-04-25",7687
"2021-04-26",7711
"2021-04-27",7739
"2021-04-28",7763
"2021-04-29",7804
"2021-04-30",7825
"2021-05-01",7852
"2021-05-02",7873
"2021-05-03",7889
"2021-05-04",7913
"2021-05-05",7956
"2021-05-06",7982
"2021-05-07",8004
"2021-05-08",8028
"2021-05-09",8075
"2021-05-10",8094
"2021-05-11",8109
"2021-05-12",8139
"2021-05-13",8170
"2021-05-14",8195
"2021-05-15",8219
"2021-05-16",8247
"2021-05-17",8249
"2021-05-18",8266
"2021-05-19",8285
"2021-05-20",8312
"2021-05-21",8339
"2021-05-22",8358
"2021-05-23",8371
"2021-05-24",8378
"2021-05-25",8411
"2021-05-26",8432
"2021-05-27",8450
"2021-05-28",8463
"2021-05-29",8478
"2021-05-30",8496
"2021-05-31",8509
"2021-06-01",8518
"2021-06-02",8543
"2021-06-03",8552
"2021-06-04",8570
"2021-06-05",8593
"2021-06-06",8601
"2021-06-07",8616
"2021-06-08",8633
"2021-06-09",8666
"2021-06-10",8677
"2021-06-11",8681
"2021-06-12",8695
"2021-06-13",8702
"2021-06-14",8705
"2021-06-15",8718
"2021-06-16",8730
"2021-06-17",8737
"2021-06-18",8738
"2021-06-19",8751
"2021-06-20",8763
"2021-06-21",8766
"2021-06-22",8826
"2021-06-23",8837
"2021-06-24",8843
"2021-06-25",8845
"2021-06-26",8858
"2021-06-27",8870
"2021-06-28",8873
"2021-06-29",8897
"2021-06-30",8911
"2021-07-01",8930
"2021-07-02",8939
"2021-07-03",8947
"2021-07-04",8956
"2021-07-05",8956
"2021-07-06",8965
"2021-07-07",8965
"2021-07-08",8969
"2021-07-09",8977
"2021-07-10",8985
"2021-07-11",8991
"2021-07-12",8989
"2021-07-13",8996
"2021-07-14",9002
"2021-07-15",9011
"2021-07-16",9021
"2021-07-17",9024
"2021-07-18",9030
"2021-07-19",9030
"2021-07-20",9032
"2021-07-21",9036
"2021-07-22",9042
"2021-07-23",9043
"2021-07-24",9046
"2021-07-25",9048
"2021-07-26",9050
"2021-07-27",9055
"2021-07-28",9059
"2021-07-29",9062
"2021-07-30",9073
"2021-07-31",9079
"2021-08-01",9081
"2021-08-02",9082
"2021-08-03",9083
"2021-08-04",9093
"2021-08-05",9107
"2021-08-06",9125
"2021-08-07",9133
"2021-08-08",9139
"2021-08-09",9139
"2021-08-10",9141
"2021-08-11",9144
"2021-08-12",9144
"2021-08-13",9148
"2021-08-14",9150
"2021-08-15",9150
"2021-08-16",9150
"2021-08-17",9160
"2021-08-18",9163
"2021-08-19",9180
"2021-08-20",9182
"2021-08-21",9183
"2021-08-22",9185
"2021-08-23",9185
"2021-08-24",9203
"2021-08-25",9204
"2021-08-26",9203
"2021-08-27",9220
"2021-08-28",9227
"2021-08-29",9228
"2021-08-30",9228
"2021-08-31",9233
"2021-09-01",9246
"2021-09-02",9260
"2021-09-03",9266
"2021-09-04",9275
"2021-09-05",9277
"2021-09-06",9279
"2021-09-07",9281
"2021-09-08",9297
"2021-09-09",9307
"2021-09-10",9318
"2021-09-11",9333
"2021-09-12",9339
"2021-09-13",9345
"2021-09-14",9352
"2021-09-15",9357
"2021-09-16",9358
"2021-09-17",9363
"2021-09-18",9373
"2021-09-19",9379
"2021-09-20",9381
"2021-09-21",9388
"2021-09-22",9395
"2021-09-23",9402
"2021-09-24",9412
"2021-09-25",9422
"2021-09-26",9428
"2021-09-27",9427
"2021-09-28",9438
"2021-09-29",9445
"2021-09-30",9453
"2021-10-01",9464
"2021-10-02",9470
"2021-10-03",9471
"2021-10-04",9473
"2021-10-05",9476
"2021-10-06",9490
"2021-10-07",9495
"2021-10-08",9504
"2021-10-09",9506
"2021-10-10",9508
"2021-10-11",9510
"2021-10-12",9510
"2021-10-13",9522
"2021-10-14",9525
"2021-10-15",9527
"2021-10-16",9532
"2021-10-17",9531
"2021-10-18",9533
"2021-10-19",9537
"2021-10-20",9541
"2021-10-21",9545
"2021-10-22",9557
"2021-10-23",9563
"2021-10-24",9564
"2021-10-25",9564
"2021-10-26",9569
"2021-10-27",9579
"2021-10-28",9582
"2021-10-29",9582
"2021-10-30",9586
"2021-10-31",9588
"2021-11-01",9591
"2021-11-02",9597
"2021-11-03",9602
"2021-11-04",9607
"2021-11-05",9611
"2021-11-06",9611
"2021-11-07",9612
"2021-11-08",9614
"2021-11-09",9617
"2021-11-10",9626
"2021-11-11",9630
"2021-11-12",9634
"2021-11-13",9640
"2021-11-14",9647
"2021-11-15",9650
"2021-11-16",9651
"2021-11-17",9663
"2021-11-18",9667
"2021-11-19",9671
"2021-11-20",9676
"2021-11-21",9679
"2021-11-22",9680
"2021-11-23",9686
"2021-11-24",9693
"2021-11-25",9697
"2021-11-26",9703
"2021-11-27",9705
"2021-11-28",9706
"2021-11-29",9709
"2021-11-30",9712
"2021-12-01",9716
"2021-12-02",9723
"2021-12-03",9727
"2021-12-04",9734
"2021-12-05",9734
"2021-12-06",9737
"2021-12-07",9746
"2021-12-08",9754
"2021-12-09",9764
"2021-12-10",9775
"2021-12-11",9780
"2021-12-12",9788
"2021-12-13",9789
"2021-12-14",9794
"2021-12-15",9803
"2021-12-16",9812
"2021-12-17",9817
"2021-12-18",9820
"2021-12-19",9822
"2021-12-20",9822
"2021-12-21",9832
"2021-12-22",9842
"2021-12-23",9848
"2021-12-24",9854
"2021-12-25",9857
"2021-12-26",9864
"2021-12-27",9868
"2021-12-28",9875
"2021-12-29",9876
"2021-12-30",9884
"2021-12-31",9899
"2022-01-01",9910
"2022-01-02",9925
"2022-01-03",9929
"2022-01-04",9937
"2022-01-05",9949
"2022-01-06",9967
"2022-01-07",10010
"2022-01-08",10038
"2022-01-09",10056
"2022-01-10",10062
"2022-01-11",10078
"2022-01-12",10119
"2022-01-13",10152
"2022-01-14",10185
"2022-01-15",10223
"2022-01-16",10260
"2022-01-17",10272
"2022-01-18",10304
"2022-01-19",10357
"2022-01-20",10425
"2022-01-21",10486
"2022-01-22",10527
"2022-01-23",10580
"2022-01-24",10614
"2022-01-25",10672
"2022-01-26",10761
"2022-01-27",10828
"2022-01-28",10895
"2022-01-29",10945
"2022-01-30",10998
"2022-01-31",11025
"2022-02-01",11078
"2022-02-02",11147
"2022-02-03",11219
"2022-02-04",11272
"2022-02-05",11329
"2022-02-06",11382
"2022-02-07",11392
"2022-02-08",11431
"2022-02-09",11493
"2022-02-10",11536
"2022-02-11",11585
"2022-02-12",11615
"2022-02-13",11632
"2022-02-14",11639
"2022-02-15",11656
"2022-02-16",11702
"2022-02-17",11738
"2022-02-18",11770
"2022-02-19",11777
"2022-02-20",11794
"2022-02-21",11808
"2022-02-22",11814
"2022-02-23",11829
"2022-02-24",11868
"2022-02-25",11906
"2022-02-26",11939
"2022-02-27",11948
"2022-02-28",11951
"2022-03-01",11968
"2022-03-02",11994
"2022-03-03",12013
"2022-03-04",12041
"2022-03-05",12062
"2022-03-06",12082
"2022-03-07",12086
"2022-03-08",12102
"2022-03-09",12129
"2022-03-10",12149
"2022-03-11",12227
"2022-03-12",12247
"2022-03-13",12256
"2022-03-14",12256
"2022-03-15",12272
"2022-03-16",12288
"2022-03-17",12307
"2022-03-18",12313
"2022-03-19",12329
"2022-03-20",12332
"2022-03-21",12336
"2022-03-22",12343
"2022-03-23",12356
"2022-03-24",12366
"2022-03-25",12388
"2022-03-26",12397
"2022-03-27",12401
"2022-03-28",12405
"2022-03-29",12414
"2022-03-30",12427
"2022-03-31",12433
"2022-04-01",12451
"2022-04-02",12460
"2022-04-03",12470
"2022-04-04",12470
