LTC_Home,Beds
Manoir Marochel,0
Valleyview Residence,0
Columbia Forest,0
The Village at St. Clair,0
Thorntonview,0
Blackadar Continuing Care Centre,0
The Woodlands of Sunset,0
Hillsdale Terraces,0
Centre d'Accueil Champlain,0
Afton Park Place Long Term Care Community,0
Nisbet Lodge,0
Granite Ridge Care Community,0
Sandfield Place,0
Mackenzie Health Long Term Care Facility,0
Burloak,0
Tsiionkwanonhsote,0
peopleCare Tavistock,0
Extendicare Kapuskasing,0
Trillium Manor Home for the Aged,0
Seniors' Health Centre,0
Vision Nursing Home,0
Bennett Health Care Centre,0
Glen-Stor-Dun Lodge,0
The Village at University Gates,0
Extendicare Port Stanley,60
Wildwood Care Centre,60
Cheltenham Care Community,170
The Salvation Army Ottawa Grace Manor,128
Spruce Lodge Home for the Aged,128
Valley Park Lodge,65
Heidehof Long Term Care Home,106
Caressant Care on McLaughlin Road,96
Caressant Care Bourget,56
The Fordwich Village Nursing Home,33
Fiddick's Nursing Home,128
Centennial Place Long-Term Care Home,128
Crown Ridge Place,122
Ehatare Nursing Home,32
Extendicare Tri-Town,60
Northland Pointe,151
Meadow Park Nursing Home (Chatham),99
Tilbury Manor Nursing Home,75
F.J. Davey Home,374
LaPointe-Fisher Nursing Home,92
Riverbend Place,53
Queen's Garden,128
Hyland Crest,62
Bon Air Long Term Care Residence,55
Chartwell Parkhill Long Term Care Residence,64
Hillside Manor,90
Extendicare Cobourg,69
Valleyview Home,136
Valley Manor Nursing Home,90
Villa Minto,37
Bethammi Nursing Home,112
Leacock Care Centre,145
Sarsfield Colonial Home,46
Perth Community Care Centre,121
Township of Osgoode Care Centre,100
The John M. Parrott Centre,168
Ritz Lutheran Villa,83
Victoria Village Manor,128
Caressant Care Woodstock Nursing Home,163
Glen Hill Marnwood,60
Glen Hill Terrace,160
Sprucedale Care Centre,96
Mauno Kaihla Koti,63
Oak Terrace,94
Pine Villa Nursing Home,41
Au Chateau,162
Arbour Heights,174
Sunnycrest Nursing Home,104
Bob Rumball Home for The Deaf,64
Bobier Villa,57
Hallowell House,97
Bay Haven Nursing Home,60
The Bignucolo Residence,19
Caressant Care Marmora,84
Elmwood Place,128
Rockwood Terrace Home for the Aged,100
Extendicare Port Hope,128
Wiigwas Elder and Senior Care,96
Pinecrest Manor,61
Rideaucrest Home,170
Southbridge Lakehead,131
Westgate Lodge Nursing Home,88
Muskoka Landing,94
Kingsway Lodge Nursing Home,63
Watford Quality Care Centre,63
Hastings Centennial Manor,110
Mon Sheong Stouffville Long-Term Care Centre,320
Glen Hill Strathaven,158
Hillcrest Village Care Centre,164
Iroquois Lodge Nursing Home,50
Regency Long Term Care Home,60
Spencer House,160
Fairvern Nursing Home,76
Knollcrest Lodge,80
The Maples Home for Seniors,43
Fairview Manor,112
Georgian Manor Home for the Aged,146
Grey Gables Home for the Aged,66
Mississauga Long Term Care Facility,55
Victoria Gardens Long Term Care,76
Woodingford Lodge - Ingersoll,34
Better Living at Thompson House,136
Good Samaritan Nursing Home,64
H.J. McFarland Memorial Home,84
The Villa Care Centre,114
The Grove Nursing Home,96
Bayfield Manor,66
Mackenzie Health Long Term Care Facility,170
Algoma Manor Nursing Home,96
Babcock Community Care Centre,60
Cedarwood Lodge,50
Faith Manor Nursing Home,160
Huronview Home for the Aged,120
Village on the Ridge,40
Rose of Sharon Korean Long Term Care,60
Extendicare Haliburton,60
Lennox and Addington County General Hospital,22
Espanola General Hospital (operating as Espanola Nursing Home-LTC),32
Extendicare Van Daele,100
Queensway Long Term Care Home,60
Pleasant Meadow Manor,61
St. Joseph's Manor,64
Blenheim Community Village,65
E. J. McQuigge Lodge,57
The West Nipissing General Hospital,48
Allendale,200
Chartwell Westmount Long Term Care Residence,160
Chelsey Park,247
Chester Village,203
Clarion Nursing Home,100
Douglas H. Rapelje Lodge,120
Ehatare Nursing Home,32
Extendicare Southwood Lakes,150
Extendicare Timmins,180
Garden City Manor,200
Garden Terrace,160
Hallowell House,97
Hillside Manor,90
Lakeview Manor,149
Miramichi Lodge,166
Mount Hope Centre for Long Term Care,394
Norview Lodge,179
Riverside Place,96
Riverview Manor Nursing Home,124
Rockcliffe Care Community,204
Saint Luke's Place,114
Shalom Manor Long Term Care Home,144
Spencer House,160
Sprucedale Care Centre,96
St. Andrew's Terrace Long Term Care Community,128
Tendercare Living Centre,254
The Village at St. Clair,256
Wellington Terrace Long-Term Care Home,176
Wentworth Lodge,160
Westside,242
Yee Hong Centre - Markham,200
Heartwood,118
Villa Marconi,128
"Albright Gardens Homes, Incorporated",231
Franklin Gardens Long Term Care Home,120
Providence Manor,243
Heritage Green Nursing Home,167
The Village at University Gates,192
Lambton Meadowview Villa,125
Fairview Lodge,198
Centre d'Accueil Roger Seguin,113
Winbourne Park,110
Maple View,29
Rosebridge Manor,78
Hampton Terrace Care Centre,101
The Woodlands of Sunset,121
Belmont Long Term Care Facility,128
Grace Villa Nursing Home,184
Shepherd Lodge,252
Caressant Care Fergus Nursing Home,87
Caressant Care on Bonnie Place,116
Northridge,133
"St. Joseph's Villa, Dundas",425
Woods Park Care Centre,123
Yee Hong Centre - Scarborough McNicoll,155
Chartwell Elmira Long Term Care Residence,48
IOOF Seniors Home,182
Stirling Heights,110
Sumac Lodge,100
Bay Ridges,124
Case Manor Care Community,96
Extendicare Rouge Valley,192
Moira Place Long-Term Care Home,128
Extendicare Lakefield,100
Hillsdale Terraces,200
Macassa  Lodge,270
Providence Healthcare,288
The Wexford,166
Garry J. Armstrong Home,180
Greenwood Court,45
"St. Joseph's Villa, Sudbury",128
Belmont House,140
Dom Lipa,66
Extendicare Starwood,192
Extendicare York,288
Labdara Lithuanian Nursing Home,90
McCall Centre Long Term Care Interim Unit,21
Pinehaven Nursing Home,84
Royal Terrace,67
St. Joseph's Lifecare Centre,205
Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,144
Castleview Wychwood Towers,456
Copernicus Lodge,228
Northview Nursing Home,48
Pioneer Manor,433
Post Inn Village,228
Telfer Place,45
Bendale Acres,302
Blue Water Rest Home,65
Centre d'Accueil Champlain,160
Exeter Villa,47
Pinecrest Nursing Home (Bobcaygeon),65
The Village of Riverside Glen,192
Avalon Retirement Centre,137
Bonnechere Manor,180
Fountain View Care Community,158
Gardenview Long Term Care Home,64
St. Joseph's at Fleming,200
Strathcona Long Term Care,87
Southlake Residential Care Village,224
Valleyview Residence,174
Cedarvale Terrace,218
Henley Place,192
Markhaven,96
Chartwell Waterford Long Term Care Residence,168
Eagle Terrace,70
The Henley House,160
The Kensington Gardens,350
Braemar Retirement Centre,69
Elmwood Place,90
Golden Dawn Nursing Home,45
Hogarth Riverview Manor,543
Lanark Heights Long Term Care Centre,160
peopleCare Oakcrossing London,160
Regina Gardens,128
St. Gabriel's Villa of Sudbury,128
Temiskaming Lodge,83
Tony Stacey Centre for Veterans' Care,100
Wikwemikong Nursing Home,59
Yee Hong Centre - Scarborough Finch,250
Bethany Lodge,128
Bradford Valley Care Community,246
Country Village Homes - Woodslee,104
Dundurn Place Care Centre,201
Earls Court Village,128
Golden Manor,177
North Park Nursing Home,75
Sherwood Court Long Term Care Centre,96
Twin Oaks of Maryhill,31
Caressant Care Courtland,55
Cassellholme,240
Golden Years Nursing Home,88
Hastings Manor Home for the Aged,253
Idlewyld Manor,192
Sunnycrest Nursing Home,136
Country Terrace,120
Elm Grove Living Centre,126
Extendicare West End Villa,242
Leamington Mennonite Home Long Term Care Residence,84
The Village of Wentworth Heights,120
Woodland Villa,111
Arbour Creek Long-Term Care Centre,129
Caressant Care Lindsay Nursing Home,124
Extendicare Oshawa,175
Maplewood,49
The O'Neill Centre,162
Villa Forum,160
Cummer Lodge,391
St. Clair O'Connor Community Nursing Home,25
The Village of Winston Park,95
Berkshire Care Centre,231
Blackadar Continuing Care Centre,80
Carefree Lodge,127
Extendicare Hamilton,160
Extendicare Maple View of Sault Ste. Marie,256
Extendicare Tecumseh,128
Finlandia Hoivakoti Nursing Home,112
peopleCare Hilltop Manor Cambridge,185
St. Joseph's Continuing Care Centre,150
Tall Pines Long Term Care Centre,160
Banwell Gardens Care Centre,142
Chartwell Trilogy Long Term Care Residence,197
Chartwell Woodhaven Long Term Care Residence,192
Chartwell Wynfield Long Term Care Residence,172
Dufferin Oaks,160
Glen Hill Strathaven,210
MacKenzie Place,93
Mon Sheong Scarborough Long Term Care Centre,160
Parkview Manor Health Care Centre,34
Shelburne Long Term Care Home,60
The Perley and Rideau Veterans' Health Centre,450
Thorntonview,154
Union Villa,160
Cawthra Gardens,192
Chartwell Aurora Long Term Care Residence,235
Harold and Grace Baker Centre,120
Hillsdale Estates,300
Maple View Lodge,60
Norwood Nursing Home,60
Yee Hong Centre - Mississauga,200
Chartwell Brant Centre Long Term Care Residence,175
Chartwell Gibson Long Term Care Residence,202
Collingwood Nursing Home,64
Kennedy Lodge,289
Manoir Marochel,64
Owen Hill Care Community,57
The Village of Taunton Mills,120
Tufford Nursing Home,64
Burton Manor,128
Eastholme Home for the Aged,128
Extendicare Brampton,150
Ivan Franko Home (Etobicoke),85
Sheridan Villa,142
South Centennial Manor,69
The Jewish Home for the Aged,472
Wesburn Manor,192
West Park Long Term Care Centre,200
Crescent Park Lodge,68
Meadow Park (London),126
Pinecrest (Plantagenet),60
Kilean Lodge,50
West Oak Village,133
Fenelon Court,67
Manitoulin Lodge,62
Seven Oaks,249
The Norfolk Hospital Nursing Home,80
Thompson House,136
West Park Health Centre,101
Wyndham Manor Long Term Care Centre,128
Alexander Place,128
Creek Way Village,144
Elizabeth Centre,128
Extendicare Halton Hills,130
Marshall Gowland Manor,126
Maxville Manor,122
Maynard Nursing Home,77
Peel Manor,177
Trinity Village Care Centre,150
Allendale,0
Arbour Creek Long-Term Care Centre,128
Avalon Retirement Centre,0
Banwell Gardens Care Centre,0
Belmont House,0
Bendale Acres,0
Bennett Health Care Centre,0
Berkshire Care Centre,0
Blackadar Continuing Care Centre,0
Bonnechere Manor,0
Braemar Retirement Centre,0
Carefree Lodge,0
Caressant Care Courtland,0
Caressant Care Fergus Nursing Home,0
Caressant Care Lindsay Nursing Home,64
Caressant Care on Bonnie Place,0
Cassellholme,0
Centre d'Accueil Champlain,0
Centre d'Accueil Roger Seguin,<5
Chartwell Aurora Long Term Care Residence,64
Chartwell Elmira Long Term Care Residence,0
Chartwell Gibson Long Term Care Residence,0
Clarion Nursing Home,0
Collingwood Nursing Home,0
Columbia Forest,156
Crescent Park Lodge,0
Cummer Lodge,0
Douglas H. Rapelje Lodge,0
Dundurn Place Care Centre,0
Eagle Terrace,0
Ehatare Nursing Home,0
Elm Grove Living Centre,0
Elmwood Place,0
Exeter Villa,0
Extendicare Lakefield,60
Extendicare Oshawa,0
Extendicare Starwood,0
Extendicare West End Villa,0
Extendicare York,0
Faith Manor Nursing Home,0
Finlandia Hoivakoti Nursing Home,110
Franklin Gardens Long Term Care Home,0
Glen Hill Strathaven,0
Golden Dawn Nursing Home,0
Golden Manor,0
Golden Years Nursing Home,0
Grace Villa Nursing Home,0
Greenwood Court,0
Hallowell House,0
Harold and Grace Baker Centre,0
Hillside Manor,0
IOOF Seniors Home,96
Ivan Franko Home (Etobicoke),0
Kennedy Lodge,0
Kilean Lodge,0
Lambton Meadowview Villa,0
Lanark Lodge,0
Macassa  Lodge,0
MacKenzie Place,0
Maitland Manor,0
Manitoulin Lodge,0
Maple View,0
Maplewood,0
Maxville Manor,0
Maynard Nursing Home,0
McCall Centre Long Term Care Interim Unit,0
Meadow Park (London),0
Mount Hope Centre for Long Term Care,0
North Park Nursing Home,0
Northview Nursing Home,0
Norwood Nursing Home,0
Parkview Manor Health Care Centre,0
Peel Manor,0
Pinecrest (Plantagenet),0
Pinecrest Nursing Home (Bobcaygeon),0
Pinehaven Nursing Home,0
Pioneer Manor,252
Providence Healthcare,0
Providence Manor,0
Riverview Manor Nursing Home,0
Rosebridge Manor,0
Royal Terrace,0
Saint Luke's Place,0
Seven Oaks,0
Shalom Manor Long Term Care Home,107
Shelburne Long Term Care Home,0
Silverthorn Care Community,160
South Centennial Manor,0
Southlake Residential Care Village,192
St. Clair O'Connor Community Nursing Home,0
"St. Joseph's Villa, Dundas",390
Sumac Lodge,0
Sunnycrest Nursing Home,0
Telfer Place,0
Temiskaming Lodge,0
Tendercare Living Centre,0
The Norfolk Hospital Nursing Home,0
The O'Neill Centre,0
The Perley and Rideau Veterans' Health Centre,0
The Village of Winston Park,0
The Wexford,0
The Woodlands of Sunset,120
Thompson House,0
Thorntonview,50
Tony Stacey Centre for Veterans' Care,0
Tufford Nursing Home,0
Twin Oaks of Maryhill,0
Wentworth Lodge,108
West Park Health Centre,0
Wikwemikong Nursing Home,0
Woodland Villa,0
Yee Hong Centre - Scarborough McNicoll,65
Bennett Health Care Centre,66
Chartwell Wenleigh Long Term Care Residence,161
Chartwell Westbury Long Term Care Residence,187
Faith Manor Nursing Home,120
Lanark Lodge,163
Maitland Manor,91
Regency Park Long Term Care Home,72
Royal Rose Place,96
Sunnyside Home,263
Malton Village Long Term Care Centre,160
Parkwood Mennonite Home,96
Chartwell Royal Oak Long Term Care Residence,160
Chartwell White Eagle Long Term Care Residence,56
Élisabeth-Bruyère Residence,71
Fudger House,250
Kipling Acres,337
Lakeshore Lodge,150
Deerwood Creek Care Community,160
Heron Terrace Long Term Care Community,140
Kristus Darzs Latvian Home,100
Villa Colombo Seniors Centre (Vaughan),160
Camilla Care Community,236
Chartwell Pine Grove Long Term Care Residence,96
Isabel and Arthur Meighen Manor,168
Mackenzie Health Long Term Care Facility,168
Madonna Care Community,160
Vermont Square,130
Craiglee Nursing Home,169
Grace Manor,120
Montfort,128
Sun Parlor Home for Senior Citizens,206
Erin Mills Lodge Nursing Home,86
Orchard Villa,233
Altamont Care Community,159
Extendicare Bayview,205
Sherbourne Place,126
Main Street Terrace,150
The Village of Erin Meadows,180
Chartwell Ballycliffe Long Term Care Residence,100
Mon Sheong Home for the Aged,105
St. Patrick's Home,288
Wellesley Central Place,150
Extendicare Laurier Manor,242
Extendicare Scarborough,154
Foyer St-Viateur Nursing Home,57
Stoneridge Manor,60
Delhi Long Term Care Centre,60
Harmony Hills Care Community,160
Humber Valley Terrace,158
Creedan Valley Care Community,95
Downsview Long Term Care Centre,252
Hawthorne Place Care Centre,269
Hellenic Care for Seniors (Toronto),81
Kensington Village,78
Tullamore Care Community,159
Cedarwood Village,90
Secord Trails Care Community,80
Vision Nursing Home,146
Carlingview Manor,303
Hellenic Home - Scarborough,128
St. George Care Community,238
Villa Leonardo Gambin,168
Anson Place Care Centre,61
The Village of Humber Heights,192
Almonte Country Haven,82
Elgin Abbey Nursing Home,27
Forest Heights,240
Glebe Centre,254
Residence Saint-Louis,198
Woodhall Park Care Community,147
CAMA Woodlands Nursing Home,134
Fairview Nursing Home,108
River Glen Haven Nursing Home,119
The Village of Aspen Lake,192
Westmount Gardens Long Term Care Home,160
Maple Grove Care Community,160
Fieldstone Commons Care Community,224
Afton Park Place Long Term Care Community,128
Eatonville Care Centre,247
Extendicare Guildwood,169
Peter D. Clark Centre,216
Stayner Care Centre,49
True Davidson Acres,187
Cooksville Care Centre,192
Simcoe Manor Home for the Aged,126
The Village of Sandalwood Park,120
Ina Grafton Gage Home,128
ReachView Village,100
Riverview Gardens,320
Hawthorn Woods Care Community,160
peopleCare A.R. Goudie Kitchener,80
Weston Terrace Care Community,224
Ukrainian Canadian Care Centre,152
Belvedere Heights,101
Woodbridge Vista Care Community,224
Waters Edge Care Community,148
Garden Court Nursing Home,45
Midland Gardens Care Community,299
Billings Court Manor,160
Brierwood Gardens,79
Extendicare Medex,193
The Elliott Long Term Care Residence,85
Linhaven,248
Mennonite Brethren Senior Citizens Home,128
Helen Henderson Nursing Home,104
Extendicare Falconbridge,234
Nisbet Lodge,103
Villa Colombo Homes for the Aged,391
Trillium Court,40
Bloomington Cove Care Community,113
Carleton Lodge,161
Foyer Des Pionniers,67
R. H. Lawson Eventide Home,101
The Meadows of Dorchester,121
Millennium Trail Manor,160
Mill Creek Care Centre,160
The Pines,160
Roberta Place,140
Dundas Manor Nursing Home,98
John Noble Home,156
Extendicare Mississauga,140
Forest Hill,160
F. J. Davey Home,374
Muskoka Shores Care Community,207
Deer Park Villa,40
Hillel Lodge,121
Streetsville Care Community,118
St. Peter's Residence at Chedoke,221
Errinrung Long Term Care Home,60
Birchwood Terrace,96
Fairhaven,256
Extendicare New Orchard Lodge,111
Parkview Home Long-Term Care,128
Caressant Care on Mary Bucke,60
Extendicare Kingston,150
Fairmount Home for the Aged,128
St. Jacques Nursing Home,60
Royal Ottawa Place,64
Fairview Mennonite Home,84
Cedarvale Lodge Retirement and Care Community,60
McGarrell Place,157
Langstaff Square Care Community,160
Parkview Nursing Centre,126
Chartwell Aylmer Long Term Care Residence,64
The Village of Tansley Woods,144
Craigholme,83
Twin Lakes Terrace Long Term Care Community,60
Norfinch Care Community,160
Hardy Terrace,101
Granite Ridge Care Community,224
"The Grove, Arnprior and District Nursing Home",61
Chartwell London Long Term Care Residence,95
Elginwood,124
Groves Park Lodge,100
St. Lawrence Lodge,224
Warkworth Place,60
Edgewater Gardens Long Term Care Centre,64
Lancaster Long Term Care Residence,60
Shalom Village Nursing Home,127
Knollcrest Lodge,78
Ridgeview,120
Seniors' Health Centre,192
Longfields Manor,114
Marianhill Nursing Home,139
Trillium Retirement and Care Community,190
Burloak,144
Grandview Lodge / Dunnville,128
Lakeside Long Term Care Centre,128
F.J. Davey Home,374
King Nursing Home,86
Sunset Manor Home for Senior Citizens,150
Caressant Care Arthur Nursing Home,80
Dover Cliffs,70
Bella Senior Care Residences,160
Iler Lodge,104
Wellington Park Care Centre,132
Woodingford Lodge - Woodstock,160
Sherwood Park Manor,107
Strathmere Lodge,160
Hamilton Continuing Care,64
Maple Park Lodge,96
Derbecker's Heritage House,72
Caressant Care Harriston,89
The Wellington Nursing Home,102
Geraldton District Hospital,19
King City Lodge Nursing Home,36
Parisien Manor,65
Lee Manor Home,150
Residence Prescott et Russell,146
Fairfield Park,103
Extendicare Kawartha Lakes,64
Nithview Home,97
Gilmore Lodge,80
Mount Nemo Christian Nursing Home,61
Woodingford Lodge - Tillsonburg,34
McCormick Home,160
Coleman Care Centre,112
"Niagara Health System, Welland Hospital Site, Extended Care Unit",115
The Village Seniors Community,70
Champlain Long Term Care Residence,60
The Palace,70
Pioneer Ridge,150
Suomi-Koti Toronto Nursing Home,34
Morriston Park Nursing Home,28
BayWoods Place,128
Chartwell Willowgrove Long Term Care Residence,169
Southbridge Pinewood,128
Vera M. Davis Community Care Centre,64
Golden Plough Lodge,151
Fox Ridge Care Community,122
Teck Pioneer Residence,81
Richmond Terrace,128
Caressant Care Listowel Nursing Home,52
Dearness Home for Senior Citizens,243
"St. Joseph's Health Centre, Guelph",240
The Village of Glendale Crossing,192
Park Lane Terrace,132
Elgin Manor,90
Barnswallow Place Care Community,96
Eden House Nursing Home,58
Tyndall Nursing Home,151
Brouillette Manor,60
Oneida Nation of the Thames Long-Term Care Home (Tsi' Nu: yoyantle' Na' Tuhuwatisni),64
North Lambton Lodge,88
Copper Terrace,138
Sara Vista,60
Lakeland Long Term Care Services,90
Trillium Villa Nursing Home,152
Atikokan General Hospital,26
Seaforth Long Term Care Home,63
The Heritage Nursing Home,201
Valley Park Lodge,65
Maple Villa Long Term Care Centre,93
Chateau Park Long Term Care Home,59
Extendicare Kirkland Lake,100
Georgian Manor Home for the Aged,143
Fiddick's Nursing Home,128
Wildwood Care Centre,60
Caressant Care Bourget,56
The Fordwich Village Nursing Home,33
Rainycrest,164
The Salvation Army Ottawa Grace Manor,128
Crown Ridge Place,122
Terrace Lodge,100
Centennial Place Long-Term Care Home,128
Cambridge Country Manor,79
Sandfield Place,53
Extendicare Tri-Town,60
Southbridge Roseview,157
Northland Pointe,151
Tilbury Manor Nursing Home,75
Meadow Park Nursing Home (Chatham),99
Maple Manor Nursing Home,107
Chartwell Parkhill Long Term Care Residence,64
Hope Street Terrace,97
Geraldton District Hospital,26
Mon Sheong Richmond Hill Long Term Care Centre,192
Huron Lodge Long Term Care Home,224
Oakwood Park Lodge,153
Trillium Manor Home for the Aged,122
Extendicare Port Stanley,60
Extendicare London,170
United Mennonite Home,128
Glen-Stor-Dun Lodge,132
peopleCare Tavistock,100
Tsiionkwanonhsote,50
Bon Air Long Term Care Residence,55
Extendicare Cobourg,69
Extendicare St. Catharines,153
Pleasant Manor Retirement Village,41
Riverbend Place,53
Port Perry Place,107
Spruce Lodge Home for the Aged,128
The Meadows,128
Cheltenham Care Community,170
Middlesex Terrace,105
Valley Manor Nursing Home,90
Extendicare Kapuskasing,61
LaPointe-Fisher Nursing Home,92
Valleyview Home,136
Heidehof Long Term Care Home,106
Caressant Care on McLaughlin Road,96
Niagara Long Term Care Residence,124
Queen's Garden,128
Bethammi Nursing Home,112
Leacock Care Centre,145
Grove Park Home For Senior Citizens,143
Villa Minto,37
York Region Newmarket Health Centre,132
Mariann Home,64
Fosterbrooke,88
The Willows Estate Nursing Home,84
York Region Maple Health Centre,100
Hyland Crest,62
Township of Osgoode Care Centre,100
Perth Community Care Centre,121
Mississauga Long Term Care Facility,55
Sarsfield Colonial Home,46
Ritz Lutheran Villa,83
The John M. Parrott Centre,168
Victoria Village Manor,128
Glen Hill Marnwood,60
Caressant Care Woodstock Nursing Home,163
Glen Hill Terrace,160
Mauno Kaihla Koti,63
�lisabeth-Bruy�re Residence,71
Geraldton District Hospital,26
Vermont Square (CLOSED),0
The Grove Nursing Home,61
Bennett Centre Long Term Care,66
Osgoode Care Centre,100
Greenwood Court,48
Strathcona Long Term Care,96
Pinecrest (Kenora),116
Royal Rose Place,160
